job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,company_process_time,company_industry,salary,benefit_level,company_size_level
2654,4,0,1,1.0,4,4,21,18.0,30,16.166885910365842,2,1
5564,13,0,1,3.0,4,4,1,22.0,21,15.894952224644102,2,1
249,51,0,2,1.0,4,4,0,29.0,30,15.373655386537118,2,0
4975,157,0,2,2.0,4,4,22,29.0,7,15.473738825043979,1,0
2891,51,0,3,2.0,0,4,37,29.0,23,16.52356082573315,1,1
3245,119,0,2,1.0,0,4,59,29.0,3,15.43291683846023,1,1
3519,160,0,3,5.0,4,4,21,21.0,30,15.702580358511794,1,2
887,54,0,1,2.0,4,4,12,5.0,20,16.066802461833923,2,0
3049,13,0,3,1.0,4,4,35,29.0,57,15.687312888712007,0,0
2398,50,0,2,1.0,5,4,12,21.0,12,15.732433317205148,0,3
564,97,0,2,1.0,0,4,52,29.0,21,16.066802461833923,1,0
687,52,0,2,1.0,4,4,12,4.0,20,15.520258832020865,1,1
5619,160,0,2,1.0,4,4,7,29.0,7,15.319588176962746,0,0
654,145,0,4,1.0,4,4,38,7.0,2,15.018483162256882,2,5
1104,55,0,2,1.0,0,4,9,29.0,30,14.508658238524095,1,0
5857,3,0,2,1.0,0,4,15,29.0,37,15.068273812173887,1,0
1100,16,0,4,1.0,1,0,9,26.0,29,15.053885078862573,1,2
4070,57,0,3,5.0,4,4,37,29.0,47,16.257857680289998,1,2
1271,59,0,3,3.0,4,4,28,22.0,28,16.929025911619092,1,3
105,50,0,2,2.0,0,4,12,23.0,47,15.72505321099685,2,5
5589,13,0,2,2.0,3,4,7,20.0,30,15.72505321099685,1,3
682,0,0,2,1.0,4,4,12,29.0,28,15.856731016694035,1,0
5568,53,0,2,1.0,4,4,1,28.0,55,15.607270193858982,1,0
1541,54,0,2,1.0,0,3,34,29.0,39,15.319588176962746,1,1
1761,57,0,3,3.0,5,4,0,19.0,29,16.588099342704055,1,0
4912,53,0,1,4.0,4,4,12,28.0,23,16.300417291085605,1,1
164,50,0,3,3.0,4,4,37,29.0,43,16.341239282272525,0,0
1461,35,0,2,2.0,4,4,4,29.0,21,15.096444681204078,2,0
4968,53,0,1,3.0,4,4,12,28.0,23,16.300417291085605,1,1
